Date,HRV,	RHR
1/20/2024,49,53
1/21/2024,59,50
1/22/2024,63,49
1/23/2024,66,48
1/24/2024,63,49
1/25/2024,66,49
1/26/2024,,
1/27/2024,,
1/28/2024,,
1/29/2024,,
1/30/2024,,
1/31/2024,,
2/1/2024,,
2/2/2024,,
2/3/2024,,
2/4/2024,,
2/5/2024,54,49
2/6/2024,52,49
2/7/2024,53,51
2/8/2024,59,48
2/9/2024,52,48
2/10/2024,56,52
2/11/2024,51,51
2/12/2024,49,51
2/13/2024,61,49
2/14/2024,55,49
2/15/2024,,
2/16/2024,,
2/17/2024,,
2/18/2024,,
2/19/2024,,
2/20/2024,,
2/21/2024,,
2/22/2024,58,49
2/23/2024,53,49
2/24/2024,58,50
2/25/2024,54,51
2/26/2024,53,50
2/27/2024,56,50
2/28/2024,67,49
2/29/2024,67,49
3/1/2024,63,49
3/2/2024,60,51
3/3/2024,55,51
3/4/2024,64,48
3/5/2024,55,52
3/6/2024,66,51
3/7/2024,,
3/8/2024,,
3/9/2024,,
3/10/2024,,
3/11/2024,,
3/12/2024,,
3/13/2024,,
3/14/2024,54,52
3/15/2024,59,50
3/16/2024,,
3/17/2024,,
3/18/2024,47,50
3/19/2024,53,52
3/20/2024,50,51
3/21/2024,45,52
3/22/2024,56,50
3/23/2024,50,52
3/24/2024,48,52
3/25/2024,48,51
3/26/2024,59,50
3/27/2024,67,49
3/28/2024,74,47
3/29/2024,58,48
3/30/2024,66,48
3/31/2024,66,48
4/1/2024,68,47
4/2/2024,44,50
4/3/2024,57,49
4/4/2024,60,47
4/5/2024,64,48
4/6/2024,,
4/7/2024,56,49
4/8/2024,64,49
4/9/2024,71,48
4/10/2024,62,48
4/11/2024,79,46
4/12/2024,72,48
4/13/2024,57,46
4/14/2024,,
4/15/2024,63,47
4/16/2024,69,45
4/17/2024,60,48
4/18/2024,76,45
4/19/2024,67,48
4/20/2024,74,47
4/21/2024,70,47
4/22/2024,68,46
4/23/2024,68,48
4/24/2024,63,50
4/25/2024,60,51
4/26/2024,70,49
4/27/2024,67,48
4/28/2024,61,48
4/29/2024,61,49
4/30/2024,,
5/1/2024,65,49
5/2/2024,76,46
5/3/2024,61,50
5/4/2024,71,48
5/5/2024,,
5/6/2024,68,46
5/7/2024,67,47
5/8/2024,64,47
5/9/2024,55,49
5/10/2024,63,48
5/11/2024,53,50
5/12/2024,69,47
5/13/2024,70,47
5/14/2024,55,48
5/15/2024,71,51
5/16/2024,53,49
5/17/2024,52,50
5/18/2024,68,47
5/19/2024,56,50
5/20/2024,49,50
5/21/2024,59,49
5/22/2024,50,50
5/23/2024,70,49
5/24/2024,64,50
5/25/2024,62,50
5/26/2024,53,49
5/27/2024,58,50
5/28/2024,52,52
5/29/2024,60,49
5/30/2024,66,48
5/31/2024,55,49
6/1/2024,68,48
6/2/2024,45,52
6/3/2024,55,51
6/4/2024,73,48
6/5/2024,55,50
6/6/2024,55,52
6/7/2024,64,51
6/8/2024,69,48
6/9/2024,68,49
6/10/2024,67,48
6/11/2024,58,48
6/12/2024,57,49
6/13/2024,62,48
6/14/2024,53,49
6/15/2024,69,49
6/16/2024,84,47
6/17/2024,73,46
6/18/2024,75,46
6/19/2024,79,46
6/20/2024,79,47
6/21/2024,79,46
6/22/2024,67,48
6/23/2024,68,47
6/24/2024,76,46
6/25/2024,67,47
6/26/2024,64,47
6/27/2024,74,48
6/28/2024,59,49
6/29/2024,85,47
6/30/2024,84,46
7/1/2024,76,47
7/2/2024,81,48
7/3/2024,74,47
7/4/2024,64,48
7/5/2024,72,49
7/6/2024,75,47
7/7/2024,73,48
7/8/2024,72,47
7/9/2024,77,48
7/10/2024,64,49
7/11/2024,81,45
7/12/2024,67,50
7/13/2024,86,47
7/14/2024,74,48
7/15/2024,63,50
7/16/2024,73,50
7/17/2024,71,49
7/18/2024,,
7/19/2024,60,50
7/20/2024,69,48
7/21/2024,45,52
7/22/2024,71,50
7/23/2024,65,50
7/24/2024,67,48
7/25/2024,59,49
7/26/2024,44,52
7/27/2024,64,50
7/28/2024,78,49
7/29/2024,56,52
7/30/2024,,
7/31/2024,,
8/1/2024,,
8/2/2024,,
8/3/2024,,
8/4/2024,,
8/5/2024,,
8/6/2024,60,49
8/7/2024,65,49
8/8/2024,,
8/9/2024,,
8/10/2024,,
8/11/2024,,
8/12/2024,,
8/13/2024,,
8/14/2024,,
8/15/2024,,
8/16/2024,,
8/17/2024,,
8/18/2024,54,49
8/19/2024,60,49
8/20/2024,66,48
8/21/2024,60,50
8/22/2024,60,51
8/23/2024,55,51
8/24/2024,46,50
8/25/2024,70,48
8/26/2024,63,49
8/27/2024,59,50
8/28/2024,53,51
8/29/2024,53,51
8/30/2024,54,50
8/31/2024,52,51
9/1/2024,64,48
9/2/2024,88,46
9/3/2024,71,46
9/4/2024,63,47
9/5/2024,,48
9/6/2024,52,51
9/7/2024,68,49
9/8/2024,81,48
9/9/2024,75,47
9/10/2024,73,46
9/11/2024,71,51
9/12/2024,51,49
9/13/2024,68,49
9/14/2024,66,50
9/15/2024,62,50
9/16/2024,48,49
9/17/2024,54,51
9/18/2024,55,51
9/19/2024,58,51
9/20/2024,56,50
9/21/2024,63,53
9/22/2024,63,50
9/23/2024,44,52
9/24/2024,61,51
9/25/2024,45,53
9/26/2024,51,50
9/27/2024,57,51
9/28/2024,55,53
9/29/2024,58,51
9/30/2024,62,49
10/1/2024,54,50
10/2/2024,44,51
10/3/2024,66,49
10/4/2024,62,49
10/5/2024,65,50
10/6/2024,,
10/7/2024,,
10/8/2024,,
10/9/2024,,
10/10/2024,,
10/11/2024,,
10/12/2024,,
10/13/2024,,
10/14/2024,,
10/15/2024,,
10/16/2024,,
10/17/2024,,
10/18/2024,,
10/19/2024,,
10/20/2024,,
10/21/2024,,
10/22/2024,,
10/23/2024,,
10/24/2024,,
10/25/2024,,
10/26/2024,,
10/27/2024,,
10/28/2024,,
10/29/2024,,
10/30/2024,,
10/31/2024,,
11/1/2024,,
11/2/2024,,
11/3/2024,,
11/4/2024,56,51
11/5/2024,64,52
11/6/2024,62,49
11/7/2024,61,53
11/8/2024,53,55
11/9/2024,51,53
11/10/2024,58,54
11/11/2024,51,52
11/12/2024,61,50
11/13/2024,58,51
11/14/2024,53,53
11/15/2024,44,56
11/16/2024,43,52
11/17/2024,58,53
11/18/2024,52,52
11/19/2024,51,51
11/20/2024,44,55
11/21/2024,51,51
11/22/2024,56,52
11/23/2024,,
11/24/2024,52,52
11/25/2024,61,53
11/26/2024,63,52
11/27/2024,50,54
11/28/2024,41,53
11/29/2024,61,51
11/30/2024,59,50
12/1/2024,58,51
12/2/2024,61,55
12/3/2024,55,52
12/4/2024,60,52
12/5/2024,,49
12/6/2024,65,52
12/7/2024,63,52
12/8/2024,49,53
12/9/2024,63,50
12/10/2024,61,51
12/11/2024,65,51
12/12/2024,46,53
12/13/2024,55,52
12/14/2024,64,51
12/15/2024,76,50
12/16/2024,61,51
12/17/2024,67,49
12/18/2024,77,49
12/19/2024,69,49
12/20/2024,60,51
12/21/2024,65,52
